abilities,résistance,attack,base_egg_steps,base_total,capture_rate,classfication,defense,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,generation,is_legendary
"['Thick Fat', 'Huge Power', 'Sap Sipper']",17,20,2560,250,190,Aquamouse Pokémon,50,70,Marill,50,183,20,50,40,water,fairy,2,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",17,50,2560,420,75,Aquarabbit Pokémon,80,100,Azumarill,50,184,60,80,50,water,fairy,2,0
"['Sturdy', 'Rock Head', 'Rattled']",21,100,5120,410,65,Imitation Pokémon,115,70,Sudowoodo,50,185,30,65,30,rock,,2,0
"['Water Absorb', 'Damp', 'Drizzle']",18,75,5120,500,45,Frog Pokémon,75,90,Politoed,50,186,90,100,70,water,,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","22,25",35,5120,250,255,Cottonweed Pokémon,40,35,Hoppip,50,187,35,55,50,grass,flying,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","22,25",45,5120,340,120,Cottonweed Pokémon,50,55,Skiploom,50,188,45,65,80,grass,flying,2,0
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']","22,25",55,5120,460,45,Cottonweed Pokémon,70,75,Jumpluff,50,189,55,95,110,grass,flying,2,0
"['Run Away', 'Pickup', 'Skill Link']",18,70,5120,360,45,Long Tail Pokémon,55,55,Aipom,50,190,40,55,85,normal,,2,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",21,30,5120,180,235,Seed Pokémon,30,30,Sunkern,50,191,30,30,30,grass,,2,0
"['Chlorophyll', 'Solar Power', 'Early Bird']",21,75,5120,425,120,Sun Pokémon,55,75,Sunflora,50,192,105,85,30,grass,,2,0
"['Speed Boost', 'Compoundeyes', 'Frisk']",22,65,5120,390,75,Clear Wing Pokémon,45,65,Yanma,50,193,75,45,95,bug,flying,2,0
"['Damp', 'Water Absorb', 'Unaware']",18,45,5120,210,255,Water Fish Pokémon,45,55,Wooper,50,194,25,25,15,water,ground,2,0
"['Damp', 'Water Absorb', 'Unaware']",18,85,5120,430,90,Water Fish Pokémon,85,95,Quagsire,50,195,65,65,35,water,ground,2,0
"['Synchronize', 'Magic Bounce']",20,65,8960,525,45,Sun Pokémon,60,65,Espeon,"88,1",196,130,95,110,psychic,,2,0
"['Synchronize', 'Inner Focus']",19,65,8960,525,45,Moonlight Pokémon,110,95,Umbreon,"88,1",197,60,130,65,dark,,2,0
"['Insomnia', 'Super Luck', 'Prankster']","18,5",85,5120,405,30,Darkness Pokémon,42,60,Murkrow,50,198,85,42,91,dark,flying,2,0
"['Oblivious', 'Own Tempo', 'Regenerator']",20,75,5120,490,70,Royal Pokémon,80,95,Slowking,50,199,100,110,30,water,psychic,2,0
['Levitate'],17,60,6400,435,45,Screech Pokémon,60,60,Misdreavus,50,200,85,85,85,ghost,,2,0
['Levitate'],20,72,10240,336,225,Symbol Pokémon,48,48,Unown,,201,72,48,48,psychic,,2,0
"['Shadow Tag', 'Telepathy']",20,33,5120,405,45,Patient Pokémon,58,190,Wobbuffet,50,202,33,58,33,psychic,,2,0
"['Inner Focus', 'Early Bird', 'Sap Sipper']","18,5",80,5120,455,60,Long Neck Pokémon,65,70,Girafarig,50,203,90,65,85,normal,psychic,2,0
"['Sturdy', 'Overcoat']","19,5",65,5120,290,190,Bagworm Pokémon,90,50,Pineco,50,204,35,35,15,bug,,2,0
"['Sturdy', 'Overcoat']","15,75",90,5120,465,75,Bagworm Pokémon,140,75,Forretress,50,205,60,60,40,bug,steel,2,0
"['Serene Grace', 'Run Away', 'Rattled']",18,70,5120,415,190,Land Snake Pokémon,70,100,Dunsparce,50,206,65,65,45,normal,,2,0
"['Hyper Cutter', 'Sand Veil', 'Immunity']","18,5",75,5120,430,60,Flyscorpion Pokémon,105,65,Gligar,50,207,35,65,85,ground,flying,2,0
"['Rock Head', 'Sturdy', 'Sheer Force']","15,75",125,6400,610,25,Iron Snake Pokémon,230,75,Steelix,50,208,55,95,30,steel,ground,2,0
"['Intimidate', 'Run Away', 'Rattled']","17,5",80,5120,300,190,Fairy Pokémon,50,60,Snubbull,"24,6",209,40,40,30,fairy,,2,0
"['Intimidate', 'Quick Feet', 'Rattled']","17,5",120,5120,450,75,Fairy Pokémon,75,90,Granbull,"24,6",210,60,60,45,fairy,,2,0
"['Poison Point', 'Swift Swim', 'Intimidate']",17,95,5120,440,45,Balloon Pokémon,85,65,Qwilfish,50,211,55,55,85,water,poison,2,0
"['Swarm', 'Technician', 'Light Metal']","15,75",150,6400,600,25,Pincer Pokémon,140,70,Scizor,50,212,65,100,75,bug,steel,2,0
"['Sturdy', 'Gluttony', 'Contrary']",20,10,5120,505,190,Mold Pokémon,230,20,Shuckle,50,213,10,230,5,bug,rock,2,0
"['Swarm', 'Guts', 'Moxie']","21,5",185,6400,600,45,Singlehorn Pokémon,115,80,Heracross,50,214,40,105,75,bug,fighting,2,0
"['Inner Focus', 'Keen Eye', 'Pickpocket']","23,5",95,5120,430,60,Sharp Claw Pokémon,55,55,Sneasel,50,215,35,75,115,dark,ice,2,0
"['Pickup', 'Quick Feet', 'Honey Gather']",18,80,5120,330,120,Little Bear Pokémon,50,60,Teddiursa,50,216,50,50,40,normal,,2,0
"['Guts', 'Quick Feet', 'Unnerve']",18,130,5120,500,60,Hibernator Pokémon,75,90,Ursaring,50,217,75,75,55,normal,,2,0
"['Magma Armor', 'Flame Body', 'Weak Armor']",18,40,5120,250,190,Lava Pokémon,40,40,Slugma,50,218,70,40,20,fire,,2,0
"['Magma Armor', 'Flame Body', 'Weak Armor']","22,25",50,5120,430,75,Lava Pokémon,120,60,Magcargo,50,219,90,80,30,fire,rock,2,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']","21,5",50,5120,250,225,Pig Pokémon,40,50,Swinub,50,220,30,30,50,ice,ground,2,0
"['Oblivious', 'Snow Cloak', 'Thick Fat']","21,5",100,5120,450,75,Swine Pokémon,80,100,Piloswine,50,221,60,60,50,ice,ground,2,0
"['Hustle', 'Natural Cure', 'Regenerator']","21,25",55,5120,410,60,Coral Pokémon,95,65,Corsola,"24,6",222,65,95,35,water,rock,2,0
"['Hustle', 'Sniper', 'Moody']",18,65,5120,300,190,Jet Pokémon,35,35,Remoraid,50,223,65,35,65,water,,2,0
"['Suction Cups', 'Sniper', 'Moody']",18,105,5120,480,75,Jet Pokémon,75,75,Octillery,50,224,105,75,45,water,,2,0
"['Vital Spirit', 'Hustle', 'Insomnia']",22,55,5120,330,45,Delivery Pokémon,45,45,Delibird,50,225,65,45,75,ice,flying,2,0
"['Swift Swim', 'Water Absorb', 'Water Veil']","18,5",40,6400,485,25,Kite Pokémon,70,85,Mantine,50,226,80,140,70,water,flying,2,0
"['Keen Eye', 'Sturdy', 'Weak Armor']","13,5",80,6400,465,25,Armor Bird Pokémon,140,65,Skarmory,50,227,40,70,70,steel,flying,2,0
"['Early Bird', 'Flash Fire', 'Unnerve']",18,60,5120,330,120,Dark Pokémon,30,45,Houndour,50,228,80,50,65,dark,fire,2,0
"['Early Bird', 'Flash Fire', 'Unnerve']",18,90,5120,600,45,Dark Pokémon,90,75,Houndoom,50,229,140,90,115,dark,fire,2,0
"['Swift Swim', 'Sniper', 'Damp']",18,95,5120,540,45,Dragon Pokémon,95,75,Kingdra,50,230,95,95,85,water,dragon,2,0
"['Pickup', 'Sand Veil']",19,60,5120,330,120,Long Nose Pokémon,60,90,Phanpy,50,231,40,40,40,ground,,2,0
"['Sturdy', 'Sand Veil']",19,120,5120,500,60,Armor Pokémon,120,90,Donphan,50,232,60,60,50,ground,,2,0
"['Trace', 'Download', 'Analytic']",18,80,5120,515,45,Virtual Pokémon,90,85,Porygon2,,233,105,95,60,normal,,2,0
"['Intimidate', 'Frisk', 'Sap Sipper']",18,95,5120,465,45,Big Horn Pokémon,62,73,Stantler,50,234,85,65,85,normal,,2,0
"['Own Tempo', 'Technician', 'Moody']",18,20,5120,250,45,Painter Pokémon,35,55,Smeargle,50,235,20,45,75,normal,,2,0
"['Guts', 'Steadfast', 'Vital Spirit']","19,5",35,6400,210,75,Scuffle Pokémon,35,35,Tyrogue,100,236,35,35,35,fighting,,2,0
"['Intimidate', 'Technician', 'Steadfast']","19,5",95,6400,455,45,Handstand Pokémon,95,50,Hitmontop,100,237,35,110,70,fighting,,2,0
"['Oblivious', 'Forewarn', 'Hydration']",23,30,6400,305,45,Kiss Pokémon,15,45,Smoochum,0,238,85,65,65,ice,psychic,2,0
"['Static', 'Vital Spirit']","17,5",63,6400,360,45,Electric Pokémon,37,45,Elekid,"75,4",239,65,55,95,electric,,2,0
"['Flame Body', 'Vital Spirit']",18,75,6400,365,45,Live Coal Pokémon,37,45,Magby,"75,4",240,70,55,83,fire,,2,0
"['Thick Fat', 'Scrappy', 'Sap Sipper']",18,80,5120,490,45,Milk Cow Pokémon,105,95,Miltank,0,241,40,70,100,normal,,2,0
"['Natural Cure', 'Serene Grace', 'Healer']",18,10,10240,540,30,Happiness Pokémon,10,255,Blissey,0,242,75,135,55,normal,,2,0
"['Pressure', 'Inner Focus']","17,5",85,20480,580,3,Thunder Pokémon,75,90,Raikou,,243,115,100,115,electric,,2,1
"['Pressure', 'Inner Focus']",18,115,20480,580,3,Volcano Pokémon,85,115,Entei,,244,90,75,100,fire,,2,1
"['Pressure', 'Inner Focus']",18,75,20480,580,3,Aurora Pokémon,115,100,Suicune,,245,90,115,85,water,,2,1
"['Guts', 'Sand Veil']","24,25",64,10240,300,45,Rock Skin Pokémon,50,50,Larvitar,50,246,45,50,41,rock,ground,2,0
['Shed Skin'],"24,25",84,10240,410,45,Hard Shell Pokémon,70,70,Pupitar,50,247,65,70,51,rock,ground,2,0
"['Sand Stream', 'Unnerve']",23,164,10240,700,45,Armor Pokémon,150,100,Tyranitar,50,248,95,120,71,rock,dark,2,0
"['Pressure', 'Multiscale']","20,25",90,30720,680,3,Diving Pokémon,130,106,Lugia,,249,90,154,110,psychic,flying,2,1
"['Pressure', 'Regenerator']","18,5",130,30720,680,3,Rainbow Pokémon,90,106,Ho-Oh,,250,110,154,90,fire,flying,2,1
['Natural Cure'],24,100,30720,600,45,Time Travel Pokémon,100,100,Celebi,,251,100,100,100,psychic,grass,2,1
"['Overgrow', 'Unburden']",21,45,5120,310,45,Wood Gecko Pokémon,35,40,Treecko,"88,1",252,65,55,70,grass,,3,0
"['Overgrow', 'Unburden']",21,65,5120,405,45,Wood Gecko Pokémon,45,50,Grovyle,"88,1",253,85,65,95,grass,,3,0
"['Overgrow', 'Unburden']",21,110,5120,630,45,Forest Pokémon,75,70,Sceptile,"88,1",254,145,85,145,grass,,3,0
"['Blaze', 'Speed Boost']",18,60,5120,310,45,Chick Pokémon,40,45,Torchic,"88,1",255,70,50,45,fire,,3,0
"['Blaze', 'Speed Boost']","18,75",85,5120,405,45,Young Fowl Pokémon,60,60,Combusken,"88,1",256,85,60,55,fire,fighting,3,0
"['Blaze', 'Speed Boost']","18,75",160,5120,630,45,Blaze Pokémon,80,80,Blaziken,"88,1",257,130,80,100,fire,fighting,3,0
"['Torrent', 'Damp']",18,70,5120,310,45,Mud Fish Pokémon,50,50,Mudkip,"88,1",258,50,50,40,water,,3,0
"['Torrent', 'Damp']",18,85,5120,405,45,Mud Fish Pokémon,70,70,Marshtomp,"88,1",259,60,70,50,water,ground,3,0
"['Torrent', 'Damp']",18,150,5120,635,45,Mud Fish Pokémon,110,100,Swampert,"88,1",260,95,110,70,water,ground,3,0
"['Run Away', 'Quick Feet', 'Rattled']",19,55,3840,220,255,Bite Pokémon,35,35,Poochyena,50,261,30,30,35,dark,,3,0
"['Intimidate', 'Quick Feet', 'Moxie']",19,90,3840,420,127,Bite Pokémon,70,70,Mightyena,50,262,60,60,70,dark,,3,0
"['Pickup', 'Gluttony', 'Quick Feet']",18,30,3840,240,255,Tiny Racoon Pokémon,41,38,Zigzagoon,50,263,30,41,60,normal,,3,0
"['Pickup', 'Gluttony', 'Quick Feet']",18,70,3840,420,90,Rush Pokémon,61,78,Linoone,50,264,50,61,100,normal,,3,0
"['Shield Dust', 'Run Away']","19,5",45,3840,195,255,Worm Pokémon,35,45,Wurmple,50,265,20,30,20,bug,,3,0
['Shed Skin'],"19,5",35,3840,205,120,Cocoon Pokémon,55,50,Silcoon,50,266,25,25,15,bug,,3,0
"['Swarm', 'Rivalry']",22,70,3840,395,45,Butterfly Pokémon,50,60,Beautifly,50,267,100,50,65,bug,flying,3,0
['Shed Skin'],"19,5",35,3840,205,120,Cocoon Pokémon,55,50,Cascoon,50,268,25,25,15,bug,,3,0
"['Shield Dust', 'Compoundeyes']",19,50,3840,385,45,Poison Moth Pokémon,70,60,Dustox,50,269,50,90,65,bug,poison,3,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']","19,25",30,3840,220,255,Water Weed Pokémon,30,40,Lotad,50,270,40,50,30,water,grass,3,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']","19,25",50,3840,340,120,Jolly Pokémon,50,60,Lombre,50,271,60,70,50,water,grass,3,0
"['Swift Swim', 'Rain Dish', 'Own Tempo']","19,25",70,3840,480,45,Carefree Pokémon,70,80,Ludicolo,50,272,90,100,70,water,grass,3,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",21,40,3840,220,255,Acorn Pokémon,50,40,Seedot,50,273,30,30,30,grass,,3,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",23,70,3840,340,120,Wily Pokémon,40,70,Nuzleaf,50,274,60,40,60,grass,dark,3,0
"['Chlorophyll', 'Early Bird', 'Pickpocket']",23,100,3840,480,45,Wickid Pokémon,60,90,Shiftry,50,275,90,60,80,grass,dark,3,0
"['Guts', 'Scrappy']",18,55,3840,270,200,TinySwallow Pokémon,30,40,Taillow,50,276,30,30,85,normal,flying,3,0
"['Guts', 'Scrappy']",18,85,3840,455,45,Swallow Pokémon,60,60,Swellow,50,277,75,50,125,normal,flying,3,0
"['Keen Eye', 'Hydration', 'Rain Dish']","18,5",30,5120,270,190,Seagull Pokémon,30,40,Wingull,50,278,55,30,85,water,flying,3,0
"['Keen Eye', 'Drizzle', 'Rain Dish']","18,5",50,5120,440,45,Water Bird Pokémon,100,60,Pelipper,50,279,95,70,65,water,flying,3,0
"['Synchronize', 'Trace', 'Telepathy']","18,75",25,5120,198,235,Feeling Pokémon,25,28,Ralts,50,280,45,35,40,psychic,fairy,3,0
"['Synchronize', 'Trace', 'Telepathy']","18,75",35,5120,278,120,Emotion Pokémon,35,38,Kirlia,50,281,65,55,50,psychic,fairy,3,0
"['Synchronize', 'Trace', 'Telepathy']","18,75",85,5120,618,45,Embrace Pokémon,65,68,Gardevoir,50,282,165,135,100,psychic,fairy,3,0
"['Swift Swim', 'Rain Dish']","18,5",30,3840,269,200,Pond Skater Pokémon,32,40,Surskit,50,283,50,52,65,bug,water,3,0
"['Intimidate', 'Unnerve']",22,60,3840,454,75,Eyeball Pokémon,62,70,Masquerain,50,284,100,82,80,bug,flying,3,0
"['Effect Spore', 'Poison Heal', 'Quick Feet']",21,40,3840,295,255,Mushroom Pokémon,60,60,Shroomish,50,285,40,60,35,grass,,3,0
"['Effect Spore', 'Poison Heal', 'Technician']",23,130,3840,460,90,Mushroom Pokémon,80,60,Breloom,50,286,60,60,70,grass,fighting,3,0
['Truant'],18,60,3840,280,255,Slacker Pokémon,60,60,Slakoth,50,287,35,35,30,normal,,3,0
['Vital Spirit'],18,80,3840,440,120,Wild Monkey Pokémon,80,80,Vigoroth,50,288,55,55,90,normal,,3,0
['Truant'],18,160,3840,670,45,Lazy Pokémon,100,150,Slaking,50,289,95,65,100,normal,,3,0
"['Compoundeyes', 'Run Away']","19,5",45,3840,266,255,Trainee Pokémon,90,31,Nincada,50,290,30,30,40,bug,ground,3,0
"['Speed Boost', 'Infiltrator']",22,90,3840,456,120,Ninja Pokémon,45,61,Ninjask,50,291,50,50,160,bug,flying,3,0
['Wonder Guard'],19,90,3840,236,45,Shed Pokémon,45,1,Shedinja,,292,30,30,40,bug,ghost,3,0
"['Soundproof', 'Rattled']",18,51,5120,240,190,Whisper Pokémon,23,64,Whismur,50,293,51,23,28,normal,,3,0
"['Soundproof', 'Scrappy']",18,71,5120,360,120,Big Voice Pokémon,43,84,Loudred,50,294,71,43,48,normal,,3,0
"['Soundproof', 'Scrappy']",18,91,5120,490,45,Loud Noise Pokémon,63,104,Exploud,50,295,91,73,68,normal,,3,0
"['Thick Fat', 'Guts', 'Sheer Force']","19,5",60,5120,237,180,Guts Pokémon,30,72,Makuhita,"75,4",296,20,30,25,fighting,,3,0
"['Thick Fat', 'Guts', 'Sheer Force']","19,5",120,5120,474,200,Arm Thrust Pokémon,60,144,Hariyama,"75,4",297,40,60,50,fighting,,3,0
"['Thick Fat', 'Huge Power', 'Sap Sipper']",17,20,2560,190,150,Polka Dot Pokémon,40,50,Azurill,"24,6",298,20,40,20,normal,fairy,3,0
"['Sturdy', 'Magnet Pull', 'Sand Force']",21,45,5120,375,255,Compass Pokémon,135,30,Nosepass,50,299,45,90,30,rock,,3,0
"['Cute Charm', 'Normalize', 'Wonder Skin ']",18,45,3840,260,255,Kitten Pokémon,45,50,Skitty,"24,6",300,35,35,50,normal,,3,0
"['Cute Charm', 'Normalize', 'Wonder Skin ']",18,65,3840,400,60,Prim Pokémon,65,70,Delcatty,"24,6",301,55,55,90,normal,,3,0
"['Keen Eye', 'Stall', 'Prankster']","15,5",85,6400,480,45,Darkness Pokémon,125,50,Sableye,50,302,85,115,20,dark,ghost,3,0
"['Hyper Cutter', 'Intimidate', 'Sheer Force']","13,25",105,5120,480,45,Deceiver Pokémon,125,50,Mawile,50,303,55,95,50,steel,fairy,3,0
"['Sturdy', 'Rock Head', 'Heavy Metal']","19,5",70,8960,330,180,Iron Armor Pokémon,100,50,Aron,50,304,40,40,30,steel,rock,3,0
"['Sturdy', 'Rock Head', 'Heavy Metal']","19,5",90,8960,430,90,Iron Armor Pokémon,140,60,Lairon,50,305,50,50,40,steel,rock,3,0
"['Sturdy', 'Rock Head', 'Heavy Metal']","19,5",140,8960,630,45,Iron Armor Pokémon,230,70,Aggron,50,306,60,80,50,steel,rock,3,0
"['Pure Power', 'Telepathy']",20,40,5120,280,180,Meditate Pokémon,55,30,Meditite,50,307,40,55,60,fighting,psychic,3,0
"['Pure Power', 'Telepathy']",20,100,5120,510,90,Meditate Pokémon,85,60,Medicham,50,308,80,85,100,fighting,psychic,3,0
"['Static', 'Lightningrod', 'Minus']","17,5",45,5120,295,120,Lightning Pokémon,40,40,Electrike,50,309,65,40,65,electric,,3,0
"['Static', 'Lightningrod', 'Minus']","17,5",75,5120,575,45,Discharge Pokémon,80,70,Manectric,50,310,135,80,135,electric,,3,0
"['Plus', 'Lightningrod']","17,5",50,5120,405,200,Cheering Pokémon,40,60,Plusle,50,311,85,75,95,electric,,3,0
"['Minus', 'Volt Absorb']","17,5",40,5120,405,200,Cheering Pokémon,50,60,Minun,50,312,75,85,95,electric,,3,0
"['Illuminate', 'Swarm', 'Prankster']","19,5",73,3840,430,150,Firefly Pokémon,75,65,Volbeat,100,313,47,85,85,bug,,3,0
"['Oblivious', 'Tinted Lens', 'Prankster']","19,5",47,3840,430,150,Firefly Pokémon,75,65,Illumise,0,314,73,85,85,bug,,3,0
"['Natural Cure', 'Poison Point', 'Leaf Guard']","19,25",60,5120,400,150,Thorn Pokémon,45,50,Roselia,50,315,100,80,65,grass,poison,3,0
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']","17,5",43,5120,302,225,Stomach Pokémon,53,70,Gulpin,50,316,43,53,40,poison,,3,0
"['Liquid Ooze', 'Sticky Hold', 'Gluttony']","17,5",73,5120,467,75,Poison Bag Pokémon,83,100,Swalot,50,317,73,83,55,poison,,3,0
"['Rough Skin', 'Speed Boost']",19,90,5120,305,225,Savage Pokémon,20,45,Carvanha,50,318,65,20,65,water,dark,3,0
"['Rough Skin', 'Speed Boost']",19,140,5120,560,60,Brutal Pokémon,70,70,Sharpedo,50,319,110,65,105,water,dark,3,0
"['Water Veil', 'Oblivious', 'Pressure']",18,70,10240,400,125,Ball Whale Pokémon,35,130,Wailmer,50,320,70,35,60,water,,3,0
"['Water Veil', 'Oblivious', 'Pressure']",18,90,10240,500,60,Float Whale Pokémon,45,170,Wailord,50,321,90,45,60,water,,3,0
"['Oblivious', 'Simple', 'Own Tempo']","18,5",60,5120,305,255,Numb Pokémon,40,60,Numel,50,322,65,45,35,fire,ground,3,0
"['Magma Armor', 'Solid Rock', 'Anger Point']","18,5",120,5120,560,150,Eruption Pokémon,100,70,Camerupt,50,323,145,105,20,fire,ground,3,0
"['White Smoke', 'Drought', 'Shell Armor']",18,85,5120,470,90,Coal Pokémon,140,70,Torkoal,50,324,85,70,20,fire,,3,0
"['Thick Fat', 'Own Tempo', 'Gluttony']",20,25,5120,330,255,Bounce Pokémon,35,60,Spoink,50,325,70,80,60,psychic,,3,0
"['Thick Fat', 'Own Tempo', 'Gluttony']",20,45,5120,470,60,Manipulate Pokémon,65,80,Grumpig,50,326,90,110,80,psychic,,3,0
"['Own Tempo', 'Tangled Feet', 'Contrary']",18,60,3840,360,255,Spot Panda Pokémon,60,60,Spinda,50,327,60,60,60,normal,,3,0
"['Hyper Cutter', 'Arena Trap', 'Sheer Force']",19,100,5120,290,255,Ant Pit Pokémon,45,45,Trapinch,50,328,45,45,10,ground,,3,0
['Levitate'],"20,5",70,5120,340,120,Vibration Pokémon,50,50,Vibrava,50,329,50,50,70,ground,dragon,3,0
['Levitate'],"20,5",100,5120,520,45,Mystic Pokémon,80,80,Flygon,50,330,80,80,100,ground,dragon,3,0
"['Sand Veil', 'Water Absorb']",21,85,5120,335,190,Cactus Pokémon,40,50,Cacnea,50,331,85,40,35,grass,,3,0
"['Sand Veil', 'Water Absorb']",23,115,5120,475,60,Scarecrow Pokémon,60,70,Cacturne,50,332,115,60,55,grass,dark,3,0
"['Natural Cure', 'Cloud Nine']",18,40,5120,310,255,Cotton Bird Pokémon,60,45,Swablu,50,333,40,75,50,normal,flying,3,0
"['Natural Cure', 'Cloud Nine']","20,25",110,5120,590,45,Humming Pokémon,110,75,Altaria,50,334,110,105,80,dragon,flying,3,0
"['Immunity', 'Toxic Boost']",18,115,5120,458,90,Cat Ferret Pokémon,60,73,Zangoose,50,335,60,60,90,normal,,3,0
"['Shed Skin', 'Infiltrator']","17,5",100,5120,458,90,Fang Snake Pokémon,60,73,Seviper,50,336,100,60,65,poison,,3,0
['Levitate'],"22,5",55,6400,460,45,Meteorite Pokémon,65,90,Lunatone,,337,95,85,70,rock,psychic,3,0
['Levitate'],"22,5",95,6400,460,45,Meteorite Pokémon,85,90,Solrock,,338,55,65,70,rock,psychic,3,0
"['Oblivious', 'Anticipation', 'Hydration']",18,48,5120,288,190,Whiskers Pokémon,43,50,Barboach,50,339,46,41,60,water,ground,3,0
"['Oblivious', 'Anticipation', 'Hydration']",18,78,5120,468,75,Whiskers Pokémon,73,110,Whiscash,50,340,76,71,60,water,ground,3,0
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",18,80,3840,308,205,Ruffian Pokémon,65,43,Corphish,50,341,50,35,35,water,,3,0
"['Hyper Cutter', 'Shell Armor', 'Adaptability']",19,120,3840,468,155,Rogue Pokémon,85,63,Crawdaunt,50,342,90,55,55,water,dark,3,0
['Levitate'],21,40,5120,300,255,Clay Doll Pokémon,55,40,Baltoy,,343,40,70,55,ground,psychic,3,0
['Levitate'],21,70,5120,500,90,Clay Doll Pokémon,105,60,Claydol,,344,70,120,75,ground,psychic,3,0
"['Suction Cups', 'Storm Drain']",21,41,7680,355,45,Sea Lily Pokémon,77,66,Lileep,"88,1",345,61,87,23,rock,grass,3,0
"['Suction Cups', 'Storm Drain']",21,81,7680,495,45,Barnacle Pokémon,97,86,Cradily,"88,1",346,81,107,43,rock,grass,3,0
"['Battle Armor', 'Swift Swim']",20,95,7680,355,45,Old Shrimp Pokémon,50,45,Anorith,"88,1",347,40,50,75,rock,bug,3,0
"['Battle Armor', 'Swift Swim']",20,125,7680,495,45,Plate Pokémon,100,75,Armaldo,"88,1",348,70,80,45,rock,bug,3,0
"['Swift Swim', 'Oblivious', 'Adaptability']",18,15,5120,200,255,Fish Pokémon,20,20,Feebas,50,349,10,55,80,water,,3,0
"['Marvel Scale', 'Competitive', 'Cute Charm']",18,60,5120,540,60,Tender Pokémon,79,95,Milotic,50,350,100,125,81,water,,3,0
['Forecast'],18,70,6400,420,45,Weather Pokémon,70,70,Castform,50,351,70,70,70,normal,,3,0
"['Color Change', 'Protean']",18,90,5120,440,200,Color Swap Pokémon,70,60,Kecleon,50,352,60,120,40,normal,,3,0
"['Insomnia', 'Frisk', 'Cursed Body']",17,75,6400,295,225,Puppet Pokémon,35,44,Shuppet,50,353,63,33,45,ghost,,3,0
"['Insomnia', 'Frisk', 'Cursed Body']",17,165,6400,555,45,Marionette Pokémon,75,64,Banette,50,354,93,83,75,ghost,,3,0
"['Levitate', 'Frisk']",17,40,6400,295,190,Requiem Pokémon,90,20,Duskull,50,355,30,90,25,ghost,,3,0
"['Pressure', 'Frisk']",17,70,6400,455,90,Beckon Pokémon,130,40,Dusclops,50,356,60,130,25,ghost,,3,0
"['Chlorophyll', 'Solar Power', 'Harvest']","22,25",68,6400,460,200,Fruit Pokémon,83,99,Tropius,50,357,72,87,51,grass,flying,3,0
['Levitate'],20,50,6400,455,45,Wind Chime Pokémon,80,75,Chimecho,50,358,95,90,65,psychic,,3,0
"['Pressure', 'Super Luck', 'Justified']",19,150,6400,565,30,Disaster Pokémon,60,65,Absol,50,359,115,60,115,dark,,3,0
"['Shadow Tag', 'Telepathy']",20,23,5120,260,125,Bright Pokémon,48,95,Wynaut,50,360,23,48,23,psychic,,3,0
"['Inner Focus', 'Ice Body', 'Moody']","21,5",50,5120,300,190,Snow Hat Pokémon,50,50,Snorunt,50,361,50,50,50,ice,,3,0
"['Inner Focus', 'Ice Body', 'Moody']","21,5",120,5120,580,75,Face Pokémon,80,80,Glalie,50,362,120,80,100,ice,,3,0
"['Thick Fat', 'Ice Body', 'Oblivious']","20,75",40,5120,290,255,Clap Pokémon,50,70,Spheal,50,363,55,50,25,ice,water,3,0
"['Thick Fat', 'Ice Body', 'Oblivious']","20,75",60,5120,410,120,Ball Roll Pokémon,70,90,Sealeo,50,364,75,70,45,ice,water,3,0
"['Thick Fat', 'Ice Body', 'Oblivious']","20,75",80,5120,530,45,Ice Break Pokémon,90,110,Walrein,50,365,95,90,65,ice,water,3,0
"['Shell Armor', 'Rattled']",18,64,5120,345,255,Bivalve Pokémon,85,35,Clamperl,50,366,74,55,32,water,,3,0
"['Swift Swim', 'Water Veil']",18,104,5120,485,60,Deep Sea Pokémon,105,55,Huntail,50,367,94,75,52,water,,3,0
"['Swift Swim', 'Hydration']",18,84,5120,485,60,South Sea Pokémon,105,55,Gorebyss,50,368,114,75,52,water,,3,0
"['Swift Swim', 'Rock Head', 'Sturdy']","21,25",90,10240,485,25,Longevity Pokémon,130,100,Relicanth,"88,1",369,45,65,55,water,rock,3,0
"['Swift Swim', 'Hydration']",18,30,5120,330,225,Rendezvous Pokémon,55,43,Luvdisc,"24,6",370,40,65,97,water,,3,0
"['Rock Head', 'Sheer Force']",19,75,10240,300,45,Rock Head Pokémon,60,45,Bagon,50,371,40,30,50,dragon,,3,0
"['Rock Head', 'Overcoat']",19,95,10240,420,45,Endurance Pokémon,100,65,Shelgon,50,372,60,50,50,dragon,,3,0
"['Intimidate', 'Moxie']","20,25",145,10240,700,45,Dragon Pokémon,130,95,Salamence,50,373,120,90,120,dragon,flying,3,0
